IP地址,端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
35.215.157.144,44333,True,bestHKG,Asia Pacific,HK,Hong Kong,31,44.97
8.218.209.29,9002,True,bestHKG,Asia Pacific,HK,Hong Kong,78,41.4
8.212.44.95,443,True,bestHKG,Asia Pacific,HK,Hong Kong,184,34.61
149.62.44.15,40722,True,bestNRT,Asia Pacific,JP,Tokyo,62,32.81
35.77.126.144,443,True,bestNRT,Asia Pacific,JP,Tokyo,59,32.68
38.59.242.169,27738,True,bestSJC,North America,US,San Jose,170,32.64
18.183.158.211,443,True,bestNRT,Asia Pacific,JP,Tokyo,63,31.88
46.232.53.118,4433,True,bestHKG,Asia Pacific,HK,Hong Kong,21,30.01
193.122.101.195,443,True,bestICN,Asia Pacific,KR,Seoul,69,29.35
37.123.193.101,17475,True,bestSJC,North America,US,San Jose,159,29.14
47.238.154.97,587,True,bestHKG,Asia Pacific,HK,Hong Kong,19,28.45
8.212.48.236,443,True,bestHKG,Asia Pacific,HK,Hong Kong,38,28.31
123.108.70.29,443,True,bestNRT,Asia Pacific,JP,Tokyo,67,27.8
129.154.192.172,443,True,bestICN,Asia Pacific,KR,Seoul,73,27.45
18.176.8.247,443,True,bestNRT,Asia Pacific,JP,Tokyo,58,26.75
185.148.13.158,587,True,bestSJC,North America,US,San Jose,176,26.37
47.79.35.89,443,True,bestNRT,Asia Pacific,JP,Tokyo,71,26.19
54.249.135.43,443,True,bestNRT,Asia Pacific,JP,Tokyo,54,26.16
38.59.241.39,587,True,bestSJC,North America,US,San Jose,171,26.07
132.226.232.194,444,True,bestICN,Asia Pacific,KR,Seoul,66,25.85
193.123.253.225,4333,True,bestICN,Asia Pacific,KR,Seoul,72,25.43
152.70.236.195,30001,True,bestICN,Asia Pacific,KR,Seoul,64,24.84
54.168.173.74,2096,True,bestNRT,Asia Pacific,JP,Tokyo,66,24.62
132.145.94.80,443,True,bestICN,Asia Pacific,KR,Seoul,76,23.44
37.123.192.214,34237,True,bestSJC,North America,US,San Jose,171,23.43
13.230.34.30,443,True,bestNRT,Asia Pacific,JP,Tokyo,58,23.1
54.250.94.109,587,True,bestNRT,Asia Pacific,JP,Tokyo,55,23.09
188.64.108.9,443,True,bestSIN,Asia Pacific,SG,Singapore,49,21.26
52.155.122.3,443,True,bestNRT,Asia Pacific,JP,Tokyo,87,20.65
37.123.193.154,666,True,bestSJC,North America,US,San Jose,167,20.64
20.196.67.30,22222,True,bestICN,Asia Pacific,KR,Seoul,82,19.15
52.155.122.3,8443,True,bestNRT,Asia Pacific,JP,Tokyo,88,18.93
154.17.224.71,51447,True,bestLAX,North America,US,Los Angeles,162,18.88
47.79.34.47,443,True,bestSJC,North America,US,San Jose,80,16.16
154.17.239.70,49028,True,bestLAX,North America,US,Los Angeles,159,15.91
185.218.7.83,443,True,bestSJC,North America,US,San Jose,166,15.83
8.222.108.116,443,True,bestNRT,Asia Pacific,JP,Tokyo,61,14.64
8.222.102.251,443,True,bestNRT,Asia Pacific,JP,Tokyo,62,14.62
154.17.239.70,51736,True,bestLAX,North America,US,Los Angeles,162,14.42
13.229.72.179,42235,True,bestSIN,Asia Pacific,SG,Singapore,207,14.3
154.17.232.199,443,True,bestLAX,North America,US,Los Angeles,164,13.86
103.148.72.147,1443,True,bestHKG,Asia Pacific,HK,Hong Kong,59,13.68
91.149.239.122,443,True,bestLAX,North America,US,Los Angeles,181,13.09
154.21.85.62,22353,True,bestLAX,North America,US,Los Angeles,158,12.94
91.149.239.62,443,True,bestLAX,North America,US,Los Angeles,192,12.72
8.217.124.38,5500,True,bestHKG,Asia Pacific,HK,Hong Kong,26,12.59
154.9.241.153,36212,True,bestLAX,North America,US,Los Angeles,206,12.28
47.238.252.41,587,True,bestHKG,Asia Pacific,HK,Hong Kong,11,12.01
43.156.253.94,443,True,bestSIN,Asia Pacific,SG,Singapore,56,11.96
154.9.241.153,23119,True,bestLAX,North America,US,Los Angeles,200,11.73
172.82.16.99,443,True,bestSJC,North America,US,San Jose,153,11.6
154.31.157.12,443,True,bestLAX,North America,US,Los Angeles,161,11.4
204.110.220.91,80,True,bestSJC,North America,US,San Jose,155,11.27
67.226.221.191,80,True,bestSJC,North America,US,San Jose,153,11.25
67.226.221.206,80,True,bestSJC,North America,US,San Jose,152,11.21
67.226.221.24,80,True,bestSJC,North America,US,San Jose,167,11.19
154.31.113.72,443,True,bestNRT,Asia Pacific,JP,Tokyo,192,11.16
204.110.220.158,80,True,bestSJC,North America,US,San Jose,155,11.15
3.113.64.82,443,True,bestNRT,Asia Pacific,JP,Tokyo,68,11.13
154.17.31.123,44300,True,bestLAX,North America,US,Los Angeles,165,10.92
67.226.221.75,80,True,bestSJC,North America,US,San Jose,160,10.88
23.166.168.67,13118,True,bestLAX,North America,US,Los Angeles,160,10.86
67.226.221.201,80,True,bestSJC,North America,US,San Jose,170,10.82
67.226.221.246,80,True,bestSJC,North America,US,San Jose,159,10.82
65.75.192.77,10180,True,bestSJC,North America,US,San Jose,155,10.69
67.226.221.50,80,True,bestSJC,North America,US,San Jose,156,10.68
192.227.247.49,2083,True,bestLAX,North America,US,Los Angeles,164,10.57
67.226.221.52,80,True,bestSJC,North America,US,San Jose,156,10.56
67.226.221.25,80,True,bestSJC,North America,US,San Jose,155,10.56
67.226.221.67,80,True,bestSJC,North America,US,San Jose,156,10.48
150.230.206.237,9710,True,bestNRT,Asia Pacific,JP,Tokyo,203,10.47
67.226.221.255,80,True,bestSJC,North America,US,San Jose,176,10.46
175.196.105.220,18099,True,bestICN,Asia Pacific,KR,Seoul,66,10.39
154.40.32.69,8441,True,bestLAX,North America,US,Los Angeles,165,10.29
67.226.221.117,80,True,bestSJC,North America,US,San Jose,164,10.28
175.192.180.203,18556,True,bestICN,Asia Pacific,KR,Seoul,74,10.23
154.17.229.206,443,True,bestLAX,North America,US,Los Angeles,162,10.19
152.69.199.70,8443,True,bestKIX,Asia Pacific,JP,Osaka,165,10.19
204.110.220.16,80,True,bestSJC,North America,US,San Jose,161,10.16
210.179.97.142,21100,True,bestICN,Asia Pacific,KR,Seoul,62,10.15
119.204.131.68,24181,True,bestICN,Asia Pacific,KR,Seoul,86,10.12
220.122.114.61,12186,True,bestICN,Asia Pacific,KR,Seoul,82,10.08
138.2.36.157,8443,True,bestKIX,Asia Pacific,JP,Osaka,165,10.03
67.226.221.104,80,True,bestSJC,North America,US,San Jose,160,10.03
175.203.30.93,50000,True,bestICN,Asia Pacific,KR,Seoul,84,10.01
14.38.83.195,12208,True,bestICN,Asia Pacific,KR,Seoul,77,9.99
221.148.237.239,10036,True,bestICN,Asia Pacific,KR,Seoul,93,9.97
154.26.180.33,443,True,bestLAX,North America,US,Los Angeles,160,9.94
