IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
183.236.51.57,33203,True,BKKchat,TH,Asia Pacific,Bangkok,9808,China Mobile Communications Group Co Ltd,13,8.88
175.212.82.132,27058,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,115,8.88
210.123.170.70,21949,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,166,8.88
211.248.229.186,32675,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,185,8.88
220.126.11.89,12505,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,190,8.88
61.80.0.204,11459,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,192,8.88
61.80.0.204,32515,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,196,8.88
221.152.115.8,14885,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,222,8.88
220.126.11.89,10116,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,225,8.88
220.126.11.89,22380,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,232,8.88
211.105.173.218,12123,True,FUKchat,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,236,8.88
163.177.58.167,42182,True,LAXchat,US,North America,Los Angeles,17623,China Unicom Shenzen network,30,8.88
163.177.58.167,27700,True,LAXchat,US,North America,Los Angeles,17623,China Unicom Shenzen network,30,8.88
183.94.30.165,45296,True,LAXchat,US,North America,Los Angeles,4837,CHINA UNICOM China169 Backbone,37,8.88
183.94.30.165,52365,True,NRTchat,JP,Asia Pacific,Tokyo,4837,CHINA UNICOM China169 Backbone,49,8.88
163.177.58.167,32444,True,NRTchat,JP,Asia Pacific,Tokyo,17623,China Unicom Shenzen network,67,8.88
45.251.10.227,41628,True,SINchat,SG,Asia Pacific,Singapore,133775,Xiamen,28,8.88
45.251.10.227,28279,True,SINchat,SG,Asia Pacific,Singapore,133775,Xiamen,33,8.88
183.236.51.16,15497,True,LAXchat,US,North America,Los Angeles,9808,China Mobile Communications Group Co Ltd,18,8.88
