IP地址,端口,TLS,原始IP,原始IPORG,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
43.156.181.203,443,True,101.32.239.42,Tencent Building Kejizhongyi Avenue,SIN,SG,Asia Pacific,Singapore,132203,Tencent Building Kejizhongyi Avenue,127,30.58
85.237.207.79,31121,True,85.237.207.79,WAPAC LTD,TPE,TW,Asia Pacific,Taipei,198100,WAPAC LTD,255,21.47
122.121.210.28,22441,True,122.121.210.28,Data Communication Business Group,TPE,TW,Asia Pacific,Taipei,3462,Data Communication Business Group,141,17.14
183.236.51.57,31617,True,45.136.253.18,Siamdata Communication CoLtd,SIN,SG,Asia Pacific,Singapore,9808,China Mobile Communications Group Co Ltd,28,16.37
122.121.210.28,15475,True,122.121.210.28,Data Communication Business Group,TPE,TW,Asia Pacific,Taipei,3462,Data Communication Business Group,111,15.95
85.237.207.79,31177,True,85.237.207.79,WAPAC LTD,TPE,TW,Asia Pacific,Taipei,198100,WAPAC LTD,228,15.85
122.118.128.118,20592,True,,,KHH,TW,Asia Pacific,Kaohsiung City,3462,Data Communication Business Group,36,14.71
122.121.210.28,10834,True,,,KHH,TW,Asia Pacific,Kaohsiung City,3462,Data Communication Business Group,53,14.3
85.237.207.79,31181,True,85.237.207.79,WAPAC LTD,TPE,TW,Asia Pacific,Taipei,198100,WAPAC LTD,259,13.98
122.121.210.28,10320,True,122.121.210.28,Data Communication Business Group,TPE,TW,Asia Pacific,Taipei,3462,Data Communication Business Group,112,12.68
85.237.207.79,31144,True,85.237.207.79,WAPAC LTD,TPE,TW,Asia Pacific,Taipei,198100,WAPAC LTD,234,10.84
1.244.202.141,24236,True,,,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,135,9.95
222.104.23.36,31097,True,222.104.23.36,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,169,9.61
14.52.18.105,34431,True,14.52.18.105,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,121,9.6
59.27.228.134,27123,True,59.27.228.134,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,85,9.6
14.52.18.105,15389,True,14.52.18.105,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,123,9.56
175.196.101.16,12635,True,175.196.101.16,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,104,9.48
203.228.115.209,36109,True,203.228.115.209,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,647,9.46
183.94.30.165,25583,True,203.218.116.239,HKT Limited,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,28,9.45
59.27.228.134,17102,True,59.27.228.134,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,233,9.44
14.52.18.105,33509,True,14.52.18.105,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,162,9.43
14.52.18.105,17172,True,14.52.18.105,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,96,9.26
61.84.224.58,26064,True,61.84.224.58,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,170,9.26
211.223.28.36,36094,True,211.223.28.36,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,140,9.23
180.69.77.130,25049,True,180.69.77.130,SK Broadband Co Ltd,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,213,9.2
222.251.222.151,18130,True,,,ICN,KR,Asia Pacific,Seoul,23563,SK Broadband Co Ltd,86,9.18
218.48.148.10,15833,True,218.48.148.10,SK Broadband Co Ltd,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,834,9.06
1.244.202.141,22642,True,,,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,1633,9.05
175.114.193.209,10590,True,175.114.193.209,SK Broadband Co Ltd,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,120,9.04
222.102.190.56,18997,True,222.102.190.56,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,112,9.0
1.244.202.141,11858,True,1.244.202.141,SK Broadband Co Ltd,NRT,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,130,8.97
14.52.18.105,17690,True,14.52.18.105,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,104,8.97
61.73.189.16,25489,True,61.73.189.16,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,235,8.97
59.28.217.164,25605,True,59.28.217.164,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,81,8.96
59.19.192.51,35868,True,59.19.192.51,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,209,8.96
1.244.202.141,38840,True,,,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,68,8.94
61.254.67.106,39639,True,61.254.67.106,SK Broadband Co Ltd,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,375,8.93
61.84.224.58,26600,True,61.84.224.58,Korea Telecom,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,691,8.92
